Section,Sub-section,Content,Additional
Introduction & Goals & Milestones,Introduction,"Students of New Uzbekistan University (NewUU) are thrilled to announce the expansion of the Hogwarts Summer School, a unique program designed to immerse secondary school students (grades 9-11) and university students (freshmen to seniors) into the research of various disciplines. This immersive program offers a one-week journey, each a magical portal into the world of Hogwarts.",
Introduction & Goals & Milestones,Goals,"1. Develop Their Research Skills: Gain valuable knowledge and practical experience in science, technology, engineering, mathematics, and political science through interactive workshops and roundtable discussions with the research team.
2. Become Part of a Vibrant Community and build Networking: Build lasting friendships and network with fellow students, mentors, and professors from NewUU and beyond, all while immersing themselves in the electrifying atmosphere of Hogwarts School of Witchcraft and Wizardry!
3. Cultivate Young Leaders and Future Thinkers: Build a community of young scholars, leaders, and community activists to work on future projects and solve the future problems of Uzbekistan.",
Introduction & Goals & Milestones,Milestones,"Autumn 2024
Application for funding and sponsorships for the Hogwarts School project.
Winter 2025
The application period opens for participant enrollment.
Spring 2025
Mentors conduct online classes to guide students on project ideas.
June/July 2025
Students work on their projects remotely, arriving at the camp with preliminary work completed.
August 2025
One-week immersive camp at the Renaissance Camp in the mountains.",
Student Selection Process,Eligibility,Admissions will start from mid April and run until late May (or early June). The Main Platform for communication with applicants will be our Telegram Channel (follow at the end of the document).,https://docs.google.com/document/d/1uyfJXV5QiChGWX3SdRcBcbgyZiFsxRJNt6IsbND7BUU/edit?usp=sharing
Student Selection Process,Structure,"Eligibility: High school students (grades 9-11) and university students (all courses).
Selection will proceed in three stages:
First Stage: Submission of a short essay and CV.
Second Stage: A case study to examine research abilities.
Third Stage: Interview (creative questions analyzing the behavior and experience of the student).",https://docs.google.com/document/d/1uyfJXV5QiChGWX3SdRcBcbgyZiFsxRJNt6IsbND7BUU/edit?usp=sharing
Academic Program Overview,Areas of Focus,"1. Software Technologies 
2. Building Strong Institutions
3. Ecology (Water, Air, Energy, Food)
4. Education
5. Education of Concerned Citizens",https://docs.google.com/document/d/1FeA_9xe0bvNHN21cN5JQkxlPzUUVaYvduDP5HV-JYL0/edit?usp=sharing
Academic Program Overview,Timeline & Structure,"The Academic Part will start from early March till mid-May and will consist of 12 weeks of online sessions. The flow of the sessions will be based on the SPRINT methodology, based on the AGILE theory of project management. For more information please refer to the “Academic Program Overview",https://docs.google.com/document/d/1FeA_9xe0bvNHN21cN5JQkxlPzUUVaYvduDP5HV-JYL0/edit?usp=sharing
Social Engagement Activities,Timeline,"Major parts of social activities, ice-breaking games, and networking will happen during the 1-week stay in “Renaissance Camp”, located in the mountains near Tashkent. The dates are flexible but it is planned to proceed in early August. 
Major planning for all social games has already started from the start of Autumn 2024. However, the main preparation will start in July, near the start of the offline part of the camp.",https://docs.google.com/spreadsheets/d/1Z_3lGuf4_hMNGIdrNjVOJL1nIZeJXZe1wt5e1RVXvX4/edit?usp=sharing
Social Engagement Activities,Structure,"The games are planned to capture the spirit of Hogwarts School of Wizards and try to contemplate the games repeated in the original book series by J.K. Rowling “Harry Potter”. For now the following can give you the overview of the games, but for more information please follow the Google Sheet “Program Schedule: Hogwarts Summer School Project 2025”
- Quidditch Tournaments: Engage in thrilling matches that test your teamwork, strategy, and a dash of magical prowess.
- Care of Mythical Beasts: Learn about the fascinating world of magical creatures (inspired by Care of Magical Creatures lessons) through interactive exhibits and guest lectures, sparking discussions about real-world conservation efforts.
- Charms for Collaboration: Participate in workshops that hone your communication and teamwork skills, all with a sprinkle of magical inspiration.",https://docs.google.com/spreadsheets/d/1Z_3lGuf4_hMNGIdrNjVOJL1nIZeJXZe1wt5e1RVXvX4/edit?usp=sharing
Budgeting,Budgeting,"The list of expenses was built based on the extensive experience of organizers gained from previous cohorts and based on the advice of NewUU Authorities.
Based on the calculations, it has been concluded that in the best-case scenario (presents of good quality, food of good quality, and monetary reward for mentors for their 1-year contribution) approximately $87 will be needed to sustain 1 participant. For this reason, the amount of participants will depend on the collected budget, else participants without sponsorship coverage will need to self-fund their stay in the camp. The maximum capacity of the camp will be 200 participants.",https://docs.google.com/document/d/1ts4GgZwceCvPYl2c6mhz0gOzhcYgha9zPztz6x8sE3I/edit?usp=sharing
Budgeting,Exact calculations,https://docs.google.com/spreadsheets/d/13GNtmMCqygIrs91n-SGsOzByFI6QeBiQ2p8Wl6z_m34/edit?usp=sharing,
Previous Cohorts,Cohort 1: Winter School 2022,https://youtu.be/ghzeDEKhGDQ?si=9UMve5HchNJ7bR3j,https://docs.google.com/document/d/1NzKwCkNNSWJGX_3b8AyQObPS7IRMrQbg/edit?usp=sharing&ouid=103384603616358247789&rtpof=true&sd=true
Previous Cohorts,Cohort 2: Summer School (SDG) 2023,https://youtu.be/aLZpocecnQc?si=O07PXwb6fcWqliyb,https://docs.google.com/document/d/1sITy3N4UiftXfTwo1gIN-fj8qhxXfNEQU54PQoV4bXQ/edit?usp=sharing
Previous Cohorts,Cohort 3: Winter School (Startups) 2024,https://t.me/Hogwarts_NewUU/118,https://docs.google.com/document/d/12Vm9Hg1it0sisxpskKSqSTUD1e5p4cUIag7Rz8eAUcE/edit?usp=sharing
Previous Cohorts,Cohort 4: Summer of Research 2024,https://t.me/Hogwarts_NewUU/263,https://docs.google.com/document/d/1O1LjqsWkZKBE02LX6JT9-vJ7yJPo0EjcjXyUgZYtcMc/edit?usp=sharing
Statistics,Statistics,"Website: https://hogwarts.streamlit.app
The website with statistics is under constant development, but it already contains such data as demographic information of our participants, the regions from where we get applicants, and so on. Please use the website as you wish, but be ready that there might be some confusion along the way.",
Main Initiator,Main Initiato,"New Uzbekistan University - main initiator of this project. Throughout all cohorts, it supported our project by giving:
Expert support 
Professors and mentors, 
Platform 
advertisement of our Camp 
Financial support 
- presents for participants
- Accommodation (e.g. University’s dormitory(2023); Mirzo Ulugbek School’s Dormitory(2024), Renaissance Camp(2025))
Transportation
Bus & car for field trips
Secretary support
Hold account of every documentation and financial records
Founders: Fahriddin Hayitov, Nargis Kholmamatova, Fyodor Amanov
Acting Organizers: Fahriddin Hayitov, Nargis Kholmamatova",
Contact Information,Phone,"School: +998 93-755-77-52
University: +998 71-202-41-11",
Contact Information,Email,School: schoolinfo@newuu.uz University: info@newuu.uz,
Contact Information,Our social media,[Website](https://camp.newuu.uz) | [Telegram channel](https://t.me/Hogwarts_NewUU) | [YouTube channel](https://www.youtube.com/@CampOfNewUzbekistanUniversity) [Instagram channel](https://www.instagram.com/hogwarts_newuu/),
